guid,Category
ynat-v1_dev_00217,4
ynat-v1_dev_00218,3
ynat-v1_dev_00219,0
ynat-v1_dev_00220,2
ynat-v1_dev_00221,2
ynat-v1_dev_00222,2
ynat-v1_dev_00223,5
ynat-v1_dev_00224,2
ynat-v1_dev_00225,1
ynat-v1_dev_00226,1
ynat-v1_dev_00227,0
ynat-v1_dev_00228,2
ynat-v1_dev_00229,4
ynat-v1_dev_00230,1
ynat-v1_dev_00231,2
ynat-v1_dev_00232,2
ynat-v1_dev_00233,2
ynat-v1_dev_00234,6
ynat-v1_dev_00235,1
ynat-v1_dev_00236,6
ynat-v1_dev_00237,6
ynat-v1_dev_00238,1
ynat-v1_dev_00239,2
ynat-v1_dev_00240,5
ynat-v1_dev_00241,6
ynat-v1_dev_00242,1
ynat-v1_dev_00243,2
ynat-v1_dev_00244,3
ynat-v1_dev_00245,3
ynat-v1_dev_00246,1
ynat-v1_dev_00247,1
ynat-v1_dev_00248,2
ynat-v1_dev_00249,5
ynat-v1_dev_00250,4
ynat-v1_dev_00251,2
ynat-v1_dev_00252,3
ynat-v1_dev_00253,2
ynat-v1_dev_00254,2
ynat-v1_dev_00255,2
ynat-v1_dev_00256,5
ynat-v1_dev_00257,2
ynat-v1_dev_00258,6
ynat-v1_dev_00259,3
ynat-v1_dev_00260,3
ynat-v1_dev_00261,2
ynat-v1_dev_00262,0
ynat-v1_dev_00263,5
ynat-v1_dev_00264,2
ynat-v1_dev_00265,3
ynat-v1_dev_00266,3
ynat-v1_dev_00267,2
ynat-v1_dev_00268,2
ynat-v1_dev_00269,1
ynat-v1_dev_00270,3
ynat-v1_dev_00271,2
ynat-v1_dev_00272,2
ynat-v1_dev_00273,5
ynat-v1_dev_00274,5
ynat-v1_dev_00275,4
ynat-v1_dev_00276,4
ynat-v1_dev_00277,3
ynat-v1_dev_00278,1
ynat-v1_dev_00279,3
ynat-v1_dev_00280,3
ynat-v1_dev_00281,3
ynat-v1_dev_00282,2
ynat-v1_dev_00283,4
ynat-v1_dev_00284,0
ynat-v1_dev_00285,2
ynat-v1_dev_00286,3
ynat-v1_dev_00287,4
ynat-v1_dev_00288,1
ynat-v1_dev_00289,3
ynat-v1_dev_00290,2
ynat-v1_dev_00291,0
ynat-v1_dev_00292,0
ynat-v1_dev_00293,1
ynat-v1_dev_00294,2
ynat-v1_dev_00295,1
ynat-v1_dev_00296,4
ynat-v1_dev_00297,1
ynat-v1_dev_00298,1
ynat-v1_dev_00299,3
ynat-v1_dev_00300,1
ynat-v1_dev_00301,6
ynat-v1_dev_00302,2
ynat-v1_dev_00303,4
ynat-v1_dev_00304,1
ynat-v1_dev_00305,2
ynat-v1_dev_00306,2
ynat-v1_dev_00307,2
ynat-v1_dev_00308,3
ynat-v1_dev_00309,2
ynat-v1_dev_00310,4
ynat-v1_dev_00311,3
ynat-v1_dev_00312,2
ynat-v1_dev_00313,6
ynat-v1_dev_00314,2
ynat-v1_dev_00315,6
ynat-v1_dev_00316,6
ynat-v1_dev_00317,2
ynat-v1_dev_00318,2
ynat-v1_dev_00319,2
ynat-v1_dev_00320,5
ynat-v1_dev_00321,3
ynat-v1_dev_00322,2
ynat-v1_dev_00323,1
ynat-v1_dev_00324,2
ynat-v1_dev_00325,2
ynat-v1_dev_00326,0
ynat-v1_dev_00327,2
ynat-v1_dev_00328,2
ynat-v1_dev_00329,2
ynat-v1_dev_00330,5
ynat-v1_dev_00331,2
ynat-v1_dev_00332,2
ynat-v1_dev_00333,2
ynat-v1_dev_00334,2
ynat-v1_dev_00335,2
ynat-v1_dev_00336,5
ynat-v1_dev_00337,3
ynat-v1_dev_00338,0
ynat-v1_dev_00339,3
ynat-v1_dev_00340,2
ynat-v1_dev_00341,2
ynat-v1_dev_00342,3
ynat-v1_dev_00343,6
ynat-v1_dev_00344,1
ynat-v1_dev_00345,6
ynat-v1_dev_00346,4
ynat-v1_dev_00347,2
ynat-v1_dev_00348,2
ynat-v1_dev_00349,4
ynat-v1_dev_00350,2
ynat-v1_dev_00351,0
ynat-v1_dev_00352,1
ynat-v1_dev_00353,5
ynat-v1_dev_00354,4
ynat-v1_dev_00355,3
ynat-v1_dev_00356,2
ynat-v1_dev_00357,2
ynat-v1_dev_00358,3
ynat-v1_dev_00359,5
ynat-v1_dev_00360,4
ynat-v1_dev_00361,5
ynat-v1_dev_00362,5
ynat-v1_dev_00363,6
ynat-v1_dev_00364,2
ynat-v1_dev_00365,2
ynat-v1_dev_00366,2
ynat-v1_dev_00367,2
ynat-v1_dev_00368,1
ynat-v1_dev_00369,2
ynat-v1_dev_00370,1
ynat-v1_dev_00371,1
ynat-v1_dev_00372,5
ynat-v1_dev_00373,2
ynat-v1_dev_00374,2
ynat-v1_dev_00375,2
ynat-v1_dev_00376,2
ynat-v1_dev_00377,6
ynat-v1_dev_00378,4
ynat-v1_dev_00379,2
ynat-v1_dev_00380,3
ynat-v1_dev_00381,2
ynat-v1_dev_00382,1
ynat-v1_dev_00383,5
ynat-v1_dev_00384,1
ynat-v1_dev_00385,3
ynat-v1_dev_00386,1
ynat-v1_dev_00387,4
ynat-v1_dev_00388,1
ynat-v1_dev_00389,3
ynat-v1_dev_00390,1
ynat-v1_dev_00391,6
ynat-v1_dev_00392,1
ynat-v1_dev_00393,3
ynat-v1_dev_00394,2
ynat-v1_dev_00395,3
ynat-v1_dev_00396,0
ynat-v1_dev_00397,1
ynat-v1_dev_00398,2
ynat-v1_dev_00399,5
ynat-v1_dev_00400,2
ynat-v1_dev_00401,1
ynat-v1_dev_00402,2
ynat-v1_dev_00403,6
ynat-v1_dev_00404,2
ynat-v1_dev_00405,0
ynat-v1_dev_00406,3
ynat-v1_dev_00407,3
ynat-v1_dev_00408,4
ynat-v1_dev_00409,2
ynat-v1_dev_00410,2
ynat-v1_dev_00411,1
ynat-v1_dev_00412,2
ynat-v1_dev_00413,2
ynat-v1_dev_00414,6
ynat-v1_dev_00415,6
ynat-v1_dev_00416,6
ynat-v1_dev_00417,2
ynat-v1_dev_00418,4
ynat-v1_dev_00419,1
ynat-v1_dev_00420,0
ynat-v1_dev_00421,3
ynat-v1_dev_00422,0
ynat-v1_dev_00423,2
ynat-v1_dev_00424,3
ynat-v1_dev_00425,6
ynat-v1_dev_00426,2
ynat-v1_dev_00427,2
ynat-v1_dev_00428,3
ynat-v1_dev_00429,2
ynat-v1_dev_00430,2
ynat-v1_dev_00431,1
ynat-v1_dev_00432,6
ynat-v1_dev_00433,3
ynat-v1_dev_00434,2
ynat-v1_dev_00435,3
ynat-v1_dev_00436,2
ynat-v1_dev_00437,4
ynat-v1_dev_00438,2
ynat-v1_dev_00439,3
ynat-v1_dev_00440,3
ynat-v1_dev_00441,2
ynat-v1_dev_00442,3
ynat-v1_dev_00443,1
ynat-v1_dev_00444,3
ynat-v1_dev_00445,4
ynat-v1_dev_00446,1
ynat-v1_dev_00447,4
ynat-v1_dev_00448,2
ynat-v1_dev_00449,3
ynat-v1_dev_00450,2
ynat-v1_dev_00451,3
ynat-v1_dev_00452,4
ynat-v1_dev_00453,6
ynat-v1_dev_00454,2
ynat-v1_dev_00455,3
ynat-v1_dev_00456,3
ynat-v1_dev_00457,2
ynat-v1_dev_00458,4
ynat-v1_dev_00459,6
ynat-v1_dev_00460,2
ynat-v1_dev_00461,3
ynat-v1_dev_00462,3
ynat-v1_dev_00463,2
ynat-v1_dev_00464,1
ynat-v1_dev_00465,3
ynat-v1_dev_00466,2
ynat-v1_dev_00467,2
ynat-v1_dev_00468,6
ynat-v1_dev_00469,1
ynat-v1_dev_00470,3
ynat-v1_dev_00471,1
ynat-v1_dev_00472,5
ynat-v1_dev_00473,4
ynat-v1_dev_00474,2
ynat-v1_dev_00475,3
ynat-v1_dev_00476,3
ynat-v1_dev_00477,3
ynat-v1_dev_00478,6
ynat-v1_dev_00479,0
ynat-v1_dev_00480,5
ynat-v1_dev_00481,3
ynat-v1_dev_00482,0
ynat-v1_dev_00483,1
ynat-v1_dev_00484,6
ynat-v1_dev_00485,2
ynat-v1_dev_00486,4
ynat-v1_dev_00487,2
ynat-v1_dev_00488,4
ynat-v1_dev_00489,1
ynat-v1_dev_00490,4
ynat-v1_dev_00491,0
ynat-v1_dev_00492,2
ynat-v1_dev_00493,2
ynat-v1_dev_00494,2
ynat-v1_dev_00495,6
ynat-v1_dev_00496,1
ynat-v1_dev_00497,3
ynat-v1_dev_00498,3
ynat-v1_dev_00499,3
ynat-v1_dev_00500,1
ynat-v1_dev_00501,4
ynat-v1_dev_00502,4
ynat-v1_dev_00503,2
ynat-v1_dev_00504,0
ynat-v1_dev_00505,6
ynat-v1_dev_00506,3
ynat-v1_dev_00507,2
ynat-v1_dev_00508,2
ynat-v1_dev_00509,5
ynat-v1_dev_00510,3
ynat-v1_dev_00511,4
ynat-v1_dev_00512,3
ynat-v1_dev_00513,2
ynat-v1_dev_00514,4
ynat-v1_dev_00515,5
ynat-v1_dev_00516,2
ynat-v1_dev_00517,1
ynat-v1_dev_00518,2
ynat-v1_dev_00519,2
ynat-v1_dev_00520,1
ynat-v1_dev_00521,2
ynat-v1_dev_00522,1
ynat-v1_dev_00523,6
ynat-v1_dev_00524,1
ynat-v1_dev_00525,3
ynat-v1_dev_00526,2
ynat-v1_dev_00527,3
ynat-v1_dev_00528,2
ynat-v1_dev_00529,0
ynat-v1_dev_00530,2
ynat-v1_dev_00531,5
ynat-v1_dev_00532,6
ynat-v1_dev_00533,2
ynat-v1_dev_00534,1
ynat-v1_dev_00535,0
ynat-v1_dev_00536,6
ynat-v1_dev_00537,3
ynat-v1_dev_00538,2
ynat-v1_dev_00539,4
ynat-v1_dev_00540,2
ynat-v1_dev_00541,2
ynat-v1_dev_00542,2
ynat-v1_dev_00543,2
ynat-v1_dev_00544,3
ynat-v1_dev_00545,2
ynat-v1_dev_00546,2
ynat-v1_dev_00547,5
ynat-v1_dev_00548,2
ynat-v1_dev_00549,2
ynat-v1_dev_00550,2
ynat-v1_dev_00551,6
ynat-v1_dev_00552,1
ynat-v1_dev_00553,2
ynat-v1_dev_00554,1
ynat-v1_dev_00555,2
ynat-v1_dev_00556,2
ynat-v1_dev_00557,3
ynat-v1_dev_00558,3
ynat-v1_dev_00559,2
ynat-v1_dev_00560,4
ynat-v1_dev_00561,6
ynat-v1_dev_00562,2
ynat-v1_dev_00563,3
ynat-v1_dev_00564,5
ynat-v1_dev_00565,2
ynat-v1_dev_00566,2
ynat-v1_dev_00567,2
ynat-v1_dev_00568,1
ynat-v1_dev_00569,6
ynat-v1_dev_00570,2
ynat-v1_dev_00571,3
ynat-v1_dev_00572,2
ynat-v1_dev_00573,3
ynat-v1_dev_00574,1
ynat-v1_dev_00575,6
ynat-v1_dev_00576,2
ynat-v1_dev_00577,3
ynat-v1_dev_00578,2
ynat-v1_dev_00579,2
ynat-v1_dev_00580,3
ynat-v1_dev_00581,2
ynat-v1_dev_00582,4
ynat-v1_dev_00583,0
ynat-v1_dev_00584,0
ynat-v1_dev_00585,3
ynat-v1_dev_00586,3
ynat-v1_dev_00587,3
ynat-v1_dev_00588,2
ynat-v1_dev_00589,3
ynat-v1_dev_00590,2
ynat-v1_dev_00591,6
ynat-v1_dev_00592,5
ynat-v1_dev_00593,2
ynat-v1_dev_00594,2
ynat-v1_dev_00595,2
ynat-v1_dev_00596,1
ynat-v1_dev_00597,4
ynat-v1_dev_00598,2
ynat-v1_dev_00599,2
ynat-v1_dev_00600,2
ynat-v1_dev_00601,6
ynat-v1_dev_00602,2
ynat-v1_dev_00603,2
ynat-v1_dev_00604,6
ynat-v1_dev_00605,5
ynat-v1_dev_00606,0
ynat-v1_dev_00607,5
ynat-v1_dev_00608,1
ynat-v1_dev_00609,2
ynat-v1_dev_00610,2
ynat-v1_dev_00611,0
ynat-v1_dev_00612,2
ynat-v1_dev_00613,2
ynat-v1_dev_00614,2
ynat-v1_dev_00615,3
ynat-v1_dev_00616,4
ynat-v1_dev_00617,0
ynat-v1_dev_00618,2
ynat-v1_dev_00619,2
ynat-v1_dev_00620,4
ynat-v1_dev_00621,3
ynat-v1_dev_00622,5
ynat-v1_dev_00623,3
ynat-v1_dev_00624,2
ynat-v1_dev_00625,2
ynat-v1_dev_00626,2
ynat-v1_dev_00627,1
ynat-v1_dev_00628,1
ynat-v1_dev_00629,0
ynat-v1_dev_00630,2
ynat-v1_dev_00631,1
ynat-v1_dev_00632,1
ynat-v1_dev_00633,2
ynat-v1_dev_00634,6
ynat-v1_dev_00635,4
ynat-v1_dev_00636,2
ynat-v1_dev_00637,0
ynat-v1_dev_00638,3
ynat-v1_dev_00639,1
ynat-v1_dev_00640,5
ynat-v1_dev_00641,2
ynat-v1_dev_00642,4
ynat-v1_dev_00643,2
ynat-v1_dev_00644,2
ynat-v1_dev_00645,2
ynat-v1_dev_00646,2
ynat-v1_dev_00647,5
ynat-v1_dev_00648,5
ynat-v1_dev_00649,6
ynat-v1_dev_00650,2
ynat-v1_dev_00651,2
ynat-v1_dev_00652,2
ynat-v1_dev_00653,2
ynat-v1_dev_00654,4
ynat-v1_dev_00655,4
ynat-v1_dev_00656,2
ynat-v1_dev_00657,2
ynat-v1_dev_00658,4
ynat-v1_dev_00659,3
ynat-v1_dev_00660,6
ynat-v1_dev_00661,4
ynat-v1_dev_00662,1
ynat-v1_dev_00663,6
ynat-v1_dev_00664,3
ynat-v1_dev_00665,3
ynat-v1_dev_00666,1
ynat-v1_dev_00667,2
ynat-v1_dev_00668,2
ynat-v1_dev_00669,2
ynat-v1_dev_00670,3
ynat-v1_dev_00671,1
ynat-v1_dev_00672,1
ynat-v1_dev_00673,5
ynat-v1_dev_00674,2
ynat-v1_dev_00675,2
ynat-v1_dev_00676,1
ynat-v1_dev_00677,5
ynat-v1_dev_00678,1
ynat-v1_dev_00679,6
ynat-v1_dev_00680,2
ynat-v1_dev_00681,2
ynat-v1_dev_00682,2
ynat-v1_dev_00683,3
ynat-v1_dev_00684,3
ynat-v1_dev_00685,6
ynat-v1_dev_00686,3
ynat-v1_dev_00687,2
ynat-v1_dev_00688,2
ynat-v1_dev_00689,1
ynat-v1_dev_00690,2
ynat-v1_dev_00691,2
ynat-v1_dev_00692,1
ynat-v1_dev_00693,1
ynat-v1_dev_00694,2
ynat-v1_dev_00695,1
ynat-v1_dev_00696,6
ynat-v1_dev_00697,1
ynat-v1_dev_00698,2
ynat-v1_dev_00699,3
ynat-v1_dev_00700,2
ynat-v1_dev_00701,2
ynat-v1_dev_00702,6
ynat-v1_dev_00703,1
ynat-v1_dev_00704,3
ynat-v1_dev_00705,2
ynat-v1_dev_00706,3
ynat-v1_dev_00707,5
ynat-v1_dev_00708,1
ynat-v1_dev_00709,3
ynat-v1_dev_00710,1
ynat-v1_dev_00711,1
ynat-v1_dev_00712,3
ynat-v1_dev_00713,2
ynat-v1_dev_00714,4
ynat-v1_dev_00715,4
ynat-v1_dev_00716,2
ynat-v1_dev_00717,5
ynat-v1_dev_00718,0
ynat-v1_dev_00719,4
ynat-v1_dev_00720,2
ynat-v1_dev_00721,2
ynat-v1_dev_00722,2
ynat-v1_dev_00723,2
ynat-v1_dev_00724,1
ynat-v1_dev_00725,2
ynat-v1_dev_00726,2
ynat-v1_dev_00727,0
ynat-v1_dev_00728,2
ynat-v1_dev_00729,2
ynat-v1_dev_00730,0
ynat-v1_dev_00731,2
ynat-v1_dev_00732,6
ynat-v1_dev_00733,1
ynat-v1_dev_00734,0
ynat-v1_dev_00735,2
ynat-v1_dev_00736,6
ynat-v1_dev_00737,2
ynat-v1_dev_00738,1
ynat-v1_dev_00739,6
ynat-v1_dev_00740,4
ynat-v1_dev_00741,2
ynat-v1_dev_00742,6
ynat-v1_dev_00743,2
ynat-v1_dev_00744,1
ynat-v1_dev_00745,3
ynat-v1_dev_00746,3
ynat-v1_dev_00747,2
ynat-v1_dev_00748,4
ynat-v1_dev_00749,4
ynat-v1_dev_00750,6
ynat-v1_dev_00751,3
ynat-v1_dev_00752,2
ynat-v1_dev_00753,2
ynat-v1_dev_00754,6
ynat-v1_dev_00755,2
ynat-v1_dev_00756,2
ynat-v1_dev_00757,5
ynat-v1_dev_00758,0
ynat-v1_dev_00759,1
ynat-v1_dev_00760,5
ynat-v1_dev_00761,2
ynat-v1_dev_00762,3
ynat-v1_dev_00763,2
ynat-v1_dev_00764,6
ynat-v1_dev_00765,1
ynat-v1_dev_00766,4
ynat-v1_dev_00767,2
ynat-v1_dev_00768,2
ynat-v1_dev_00769,5
ynat-v1_dev_00770,3
ynat-v1_dev_00771,2
ynat-v1_dev_00772,2
ynat-v1_dev_00773,1
ynat-v1_dev_00774,5
ynat-v1_dev_00775,6
ynat-v1_dev_00776,3
ynat-v1_dev_00777,4
ynat-v1_dev_00778,2
ynat-v1_dev_00779,6
ynat-v1_dev_00780,2
ynat-v1_dev_00781,4
ynat-v1_dev_00782,2
ynat-v1_dev_00783,2
ynat-v1_dev_00784,3
ynat-v1_dev_00785,2
ynat-v1_dev_00786,2
ynat-v1_dev_00787,2
ynat-v1_dev_00788,5
ynat-v1_dev_00789,2
ynat-v1_dev_00790,4
ynat-v1_dev_00791,2
ynat-v1_dev_00792,2
ynat-v1_dev_00793,2
ynat-v1_dev_00794,2
ynat-v1_dev_00795,2
ynat-v1_dev_00796,1
ynat-v1_dev_00797,5
ynat-v1_dev_00798,2
ynat-v1_dev_00799,1
ynat-v1_dev_00800,2
ynat-v1_dev_00801,2
ynat-v1_dev_00802,1
ynat-v1_dev_00803,1
ynat-v1_dev_00804,2
ynat-v1_dev_00805,6
ynat-v1_dev_00806,5
ynat-v1_dev_00807,3
ynat-v1_dev_00808,2
ynat-v1_dev_00809,2
ynat-v1_dev_00810,5
ynat-v1_dev_00811,2
ynat-v1_dev_00812,3
ynat-v1_dev_00813,2
ynat-v1_dev_00814,3
ynat-v1_dev_00815,4
ynat-v1_dev_00816,2
ynat-v1_dev_00817,3
ynat-v1_dev_00818,1
ynat-v1_dev_00819,2
ynat-v1_dev_00820,1
ynat-v1_dev_00821,2
ynat-v1_dev_00822,2
ynat-v1_dev_00823,2
ynat-v1_dev_00824,0
ynat-v1_dev_00825,2
ynat-v1_dev_00826,6
ynat-v1_dev_00827,2
ynat-v1_dev_00828,4
ynat-v1_dev_00829,4
ynat-v1_dev_00830,2
ynat-v1_dev_00831,2
ynat-v1_dev_00832,2
ynat-v1_dev_00833,2
ynat-v1_dev_00834,4
ynat-v1_dev_00835,2
ynat-v1_dev_00836,0
ynat-v1_dev_00837,3
ynat-v1_dev_00838,5
ynat-v1_dev_00839,1
ynat-v1_dev_00840,2
ynat-v1_dev_00841,2
ynat-v1_dev_00842,1
ynat-v1_dev_00843,2
ynat-v1_dev_00844,6
ynat-v1_dev_00845,2
ynat-v1_dev_00846,1
ynat-v1_dev_00847,3
ynat-v1_dev_00848,0
ynat-v1_dev_00849,2
ynat-v1_dev_00850,2
ynat-v1_dev_00851,3
ynat-v1_dev_00852,2
ynat-v1_dev_00853,2
ynat-v1_dev_00854,6
ynat-v1_dev_00855,2
ynat-v1_dev_00856,2
ynat-v1_dev_00857,1
ynat-v1_dev_00858,2
ynat-v1_dev_00859,6
ynat-v1_dev_00860,2
ynat-v1_dev_00861,2
ynat-v1_dev_00862,6
ynat-v1_dev_00863,2
ynat-v1_dev_00864,6
ynat-v1_dev_00865,2
ynat-v1_dev_00866,2
ynat-v1_dev_00867,5
ynat-v1_dev_00868,4
ynat-v1_dev_00869,4
ynat-v1_dev_00870,3
ynat-v1_dev_00871,1
ynat-v1_dev_00872,4
ynat-v1_dev_00873,4
ynat-v1_dev_00874,4
ynat-v1_dev_00875,2
ynat-v1_dev_00876,2
ynat-v1_dev_00877,2
ynat-v1_dev_00878,0
ynat-v1_dev_00879,2
ynat-v1_dev_00880,2
ynat-v1_dev_00881,1
ynat-v1_dev_00882,5
ynat-v1_dev_00883,4
ynat-v1_dev_00884,2
ynat-v1_dev_00885,2
ynat-v1_dev_00886,2
ynat-v1_dev_00887,4
ynat-v1_dev_00888,2
ynat-v1_dev_00889,2
ynat-v1_dev_00890,2
ynat-v1_dev_00891,2
ynat-v1_dev_00892,1
ynat-v1_dev_00893,2
ynat-v1_dev_00894,1
ynat-v1_dev_00895,2
ynat-v1_dev_00896,3
ynat-v1_dev_00897,6
ynat-v1_dev_00898,2
ynat-v1_dev_00899,6
ynat-v1_dev_00900,3
ynat-v1_dev_00901,0
ynat-v1_dev_00902,3
ynat-v1_dev_00903,1
ynat-v1_dev_00904,6
ynat-v1_dev_00905,3
ynat-v1_dev_00906,2
ynat-v1_dev_00907,2
ynat-v1_dev_00908,3
ynat-v1_dev_00909,2
ynat-v1_dev_00910,3
ynat-v1_dev_00911,2
ynat-v1_dev_00912,2
ynat-v1_dev_00913,4
ynat-v1_dev_00914,6
ynat-v1_dev_00915,2
ynat-v1_dev_00916,1
ynat-v1_dev_00917,3
ynat-v1_dev_00918,2
ynat-v1_dev_00919,2
ynat-v1_dev_00920,6
ynat-v1_dev_00921,2
ynat-v1_dev_00922,6
ynat-v1_dev_00923,5
ynat-v1_dev_00924,6
ynat-v1_dev_00925,1
ynat-v1_dev_00926,2
ynat-v1_dev_00927,4
ynat-v1_dev_00928,2
ynat-v1_dev_00929,1
ynat-v1_dev_00930,3
ynat-v1_dev_00931,2
